,평균기온,최고기온,최저기온,평균운량,일강수량,대여율,Normalized 대여율,Normalized 최고기온
2021-03-29,10.2,14.6,7.3,5.5,0.2,185.02469135802468,0.40977373131186373,0.39999999999999997
2021-03-30,10.8,18.2,4.1,0.6,0.0,243.67654320987654,0.5441790172590615,0.4986301369863014
2021-03-31,14.5,22.9,5.9,3.8,0.0,279.65185185185186,0.6266192385376114,0.6273972602739726
2021-04-01,17.7,24.0,12.0,5.3,0.0,288.0,0.6457496701191334,0.6575342465753424
2021-04-02,17.8,23.0,12.5,8.1,0.0,273.10370370370373,0.6116136471285026,0.6301369863013698
2021-04-03,14.9,18.0,10.9,9.9,56.2,34.6320987654321,0.06513739377890632,0.4931506849315068
2021-04-04,11.9,15.8,9.0,6.3,0.6,232.49382716049382,0.5185529525939584,0.4328767123287671
2021-04-05,11.9,19.3,5.4,2.3,0.0,272.920987654321,0.6111949390725923,0.5287671232876713
2021-04-06,13.9,19.2,9.4,2.4,0.0,282.20246913580246,0.6324641766694399,0.5260273972602739
2021-04-07,14.1,20.4,8.1,0.0,0.0,281.9925925925926,0.6319832282268402,0.558904109589041
2021-04-08,13.0,18.0,7.2,0.0,0.0,259.7308641975309,0.580968744009448,0.4931506849315068
2021-04-09,13.6,19.6,7.6,0.6,0.0,281.4172839506173,0.63066486367242,0.536986301369863
2021-04-10,12.6,18.8,7.7,0.5,0.0,274.0246913580247,0.6137241620589693,0.5150684931506849
2021-04-11,15.0,21.8,7.5,3.5,0.0,280.47407407407405,0.6285034247892075,0.5972602739726027
2021-04-12,13.8,17.8,11.9,9.8,22.0,71.58518518518518,0.14981826897827327,0.4876712328767123
2021-04-13,10.4,13.5,5.7,6.6,8.0,207.8320987654321,0.46203868148001503,0.3698630136986301
2021-04-14,8.4,13.3,3.1,0.3,0.0,242.53333333333333,0.5415592628011364,0.3643835616438356
2021-04-15,11.6,18.3,6.3,4.9,0.0,269.037037037037,0.6022945637760131,0.5013698630136987
2021-04-16,11.3,14.8,8.1,6.9,0.7,202.90617283950618,0.45075053862135295,0.4054794520547945
2021-04-17,9.6,14.6,6.0,3.8,0.0,175.51111111111112,0.38797262131967075,0.39999999999999997
2021-04-18,9.9,15.3,5.6,0.9,0.0,246.92345679012345,0.5516195725769265,0.4191780821917808
2021-04-19,12.2,19.4,5.8,0.0,0.0,268.1432098765432,0.6002462892322359,0.5315068493150684
2021-04-20,14.8,22.0,8.1,2.9,0.0,280.95061728395063,0.6295954606647574,0.6027397260273972
2021-04-21,19.1,28.2,10.3,3.9,0.0,294.7654320987654,0.661253184621757,0.7726027397260273
2021-04-22,20.9,27.5,16.1,8.9,0.0,288.20246913580246,0.6462136439108177,0.7534246575342466
2021-04-23,19.0,21.7,17.0,9.6,0.0,287.5950617283951,0.6448217225357648,0.5945205479452055
2021-04-24,18.3,22.2,15.3,6.8,0.0,293.26666666666665,0.6578186469198984,0.6082191780821917
2021-04-25,18.2,24.0,12.6,1.1,0.0,313.9530864197531,0.7052231887093076,0.6575342465753424
